"TargetGroup","FirstDose","SecondDose","DoseAdditional1","Population","Denominator","Country","ReportingCountry","minAge","maxAge","ageWidth","YearWeekISO"
"Age<18",0,0,0,5822763,0,"Denmark","DK",0,17,18,"2020-W50"
"Age25_49",1,0,0,5822763,1843666,"Denmark","DK",25,49,25,"2020-W50"
"Age<18",0,0,0,5822763,0,"Denmark","DK",0,17,18,"2020-W51"
"Age25_49",4,0,0,5822763,1843666,"Denmark","DK",25,49,25,"2020-W51"
"Age80+",1,0,0,5822763,272326,"Denmark","DK",80,100,21,"2020-W51"
"Age<18",0,0,0,888005,0,"Cyprus","CY",0,17,18,"2020-W52"
"Age18_24",5,0,0,888005,84850,"Cyprus","CY",18,24,7,"2020-W52"
"Age25_49",66,0,0,888005,330295,"Cyprus","CY",25,49,25,"2020-W52"
"Age50_59",17,0,0,888005,107634,"Cyprus","CY",50,59,10,"2020-W52"
"Age60_69",35,0,0,888005,94714,"Cyprus","CY",60,69,10,"2020-W52"
"Age70_79",28,0,0,888005,66429,"Cyprus","CY",70,79,10,"2020-W52"
"Age80+",218,0,0,888005,33530,"Cyprus","CY",80,100,21,"2020-W52"
"Age<18",0,0,0,10693939,0,"Czech Republic","CZ",0,17,18,"2020-W52"
"Age18_24",51,0,0,10693939,671799,"Czech Republic","CZ",18,24,7,"2020-W52"
"Age25_49",680,0,0,10693939,3899741,"Czech Republic","CZ",25,49,25,"2020-W52"
"Age50_59",257,0,0,10693939,1339737,"Czech Republic","CZ",50,59,10,"2020-W52"
"Age60_69",179,0,0,10693939,1330494,"Czech Republic","CZ",60,69,10,"2020-W52"
"Age70_79",75,0,0,10693939,1011603,"Czech Republic","CZ",70,79,10,"2020-W52"
"Age80+",26,0,0,10693939,441100,"Czech Republic","CZ",80,100,21,"2020-W52"
"Age15_17",1,0,0,5822763,203020,"Denmark","DK",15,17,3,"2020-W52"
"Age18_24",163,0,0,5822763,522153,"Denmark","DK",18,24,7,"2020-W52"
"Age25_49",2049,0,0,5822763,1843666,"Denmark","DK",25,49,25,"2020-W52"
"Age50_59",1073,0,0,5822763,800444,"Denmark","DK",50,59,10,"2020-W52"
"Age60_69",861,0,0,5822763,663646,"Denmark","DK",60,69,10,"2020-W52"
"Age70_79",548,0,0,5822763,564390,"Denmark","DK",70,79,10,"2020-W52"
"Age80+",1192,0,0,5822763,272326,"Denmark","DK",80,100,21,"2020-W52"
"Age<18",0,0,0,1328976,0,"Estonia","EE",0,17,18,"2020-W52"
"Age18_24",8,0,0,1328976,87626,"Estonia","EE",18,24,7,"2020-W52"
"Age25_49",104,0,0,1328976,460829,"Estonia","EE",25,49,25,"2020-W52"
"Age50_59",50,0,0,1328976,171453,"Estonia","EE",50,59,10,"2020-W52"
"Age60_69",26,0,0,1328976,163237,"Estonia","EE",60,69,10,"2020-W52"
"Age70_79",2,0,0,1328976,111342,"Estonia","EE",70,79,10,"2020-W52"
"Age80+",1,0,0,1328976,77445,"Estonia","EE",80,100,21,"2020-W52"
"Age0_4",0,0,0,10718565,461955,"Greece","EL",0,4,5,"2020-W52"
"Age10_14",0,0,0,10718565,553606,"Greece","EL",10,14,5,"2020-W52"
"Age15_17",0,0,0,10718565,326859,"Greece","EL",15,17,3,"2020-W52"
"Age18_24",1,0,0,10718565,782452,"Greece","EL",18,24,7,"2020-W52"
"Age25_49",80,0,0,10718565,3497414,"Greece","EL",25,49,25,"2020-W52"
"Age5_9",0,0,0,10718565,511958,"Greece","EL",5,9,5,"2020-W52"
"Age50_59",80,0,0,10718565,1515472,"Greece","EL",50,59,10,"2020-W52"
"Age60_69",102,0,0,10718565,1291651,"Greece","EL",60,69,10,"2020-W52"
"Age70_79",5,0,0,10718565,1003958,"Greece","EL",70,79,10,"2020-W52"
"Age80+",4,0,0,10718565,773240,"Greece","EL",80,100,21,"2020-W52"
"Age0_4",0,0,0,5525292,255924,"Finland","FI",0,4,5,"2020-W52"
"Age10_14",0,0,0,5525292,308825,"Finland","FI",10,14,5,"2020-W52"
"Age15_17",0,0,0,5525292,178021,"Finland","FI",15,17,3,"2020-W52"
"Age18_24",4,0,0,5525292,432594,"Finland","FI",18,24,7,"2020-W52"
"Age25_49",21,0,0,5525292,1728083,"Finland","FI",25,49,25,"2020-W52"
"Age5_9",0,0,0,5525292,306287,"Finland","FI",5,9,5,"2020-W52"
"Age50_59",15,0,0,5525292,724665,"Finland","FI",50,59,10,"2020-W52"
"Age60_69",3,0,0,5525292,716579,"Finland","FI",60,69,10,"2020-W52"
"Age70_79",11,0,0,5525292,561908,"Finland","FI",70,79,10,"2020-W52"
"Age80+",13,0,0,5525292,312406,"Finland","FI",80,100,21,"2020-W52"
"Age0_4",0,0,0,4058165,182408,"Croatia","HR",0,4,5,"2020-W52"
"Age10_14",0,0,0,4058165,202389,"Croatia","HR",10,14,5,"2020-W52"
"Age15_17",0,0,0,4058165,115854,"Croatia","HR",15,17,3,"2020-W52"
"Age18_24",16,1,0,4058165,321108,"Croatia","HR",18,24,7,"2020-W52"
"Age25_49",379,7,0,4058165,1319478,"Croatia","HR",25,49,25,"2020-W52"
"Age5_9",0,0,0,4058165,196674,"Croatia","HR",5,9,5,"2020-W52"
"Age50_59",266,2,0,4058165,570899,"Croatia","HR",50,59,10,"2020-W52"
"Age60_69",182,0,0,4058165,562891,"Croatia","HR",60,69,10,"2020-W52"
"Age70_79",347,0,0,4058165,364156,"Croatia","HR",70,79,10,"2020-W52"
"Age80+",938,0,0,4058165,222308,"Croatia","HR",80,100,21,"2020-W52"
"Age<18",0,0,0,9769526,0,"Hungary","HU",0,17,18,"2020-W52"
"Age18_24",19,0,0,9769526,741094,"Hungary","HU",18,24,7,"2020-W52"
"Age25_49",647,0,0,9769526,3490565,"Hungary","HU",25,49,25,"2020-W52"
"Age50_59",278,0,0,9769526,1235206,"Hungary","HU",50,59,10,"2020-W52"
"Age60_69",118,0,0,9769526,1295058,"Hungary","HU",60,69,10,"2020-W52"
"Age70_79",31,0,0,9769526,859765,"Hungary","HU",70,79,10,"2020-W52"
"Age80+",2,0,0,9769526,438790,"Hungary","HU",80,100,21,"2020-W52"
"Age<18",0,0,0,59641488,9433159,"Italy","IT",0,17,18,"2020-W52"
"Age18_24",84,0,0,59641488,4121339,"Italy","IT",18,24,7,"2020-W52"
"Age25_49",3171,0,0,59641488,18920355,"Italy","IT",25,49,25,"2020-W52"
"Age50_59",2176,2,0,59641488,9414195,"Italy","IT",50,59,10,"2020-W52"
"Age60_69",1467,0,0,59641488,7364364,"Italy","IT",60,69,10,"2020-W52"
"Age70_79",128,0,0,59641488,5968373,"Italy","IT",70,79,10,"2020-W52"
"Age80+",195,0,0,59641488,4419703,"Italy","IT",80,100,21,"2020-W52"
"Age0_4",0,0,0,2794090,145590,"Lithuania","LT",0,4,5,"2020-W52"
"Age10_14",0,0,0,2794090,132642,"Lithuania","LT",10,14,5,"2020-W52"
"Age15_17",0,0,0,2794090,76077,"Lithuania","LT",15,17,3,"2020-W52"
"Age18_24",84,0,0,2794090,209209,"Lithuania","LT",18,24,7,"2020-W52"
"Age25_49",1254,0,0,2794090,914337,"Lithuania","LT",25,49,25,"2020-W52"
"Age5_9",0,0,0,2794090,144512,"Lithuania","LT",5,9,5,"2020-W52"
"Age50_59",702,0,0,2794090,419039,"Lithuania","LT",50,59,10,"2020-W52"
"Age60_69",355,0,0,2794090,351248,"Lithuania","LT",60,69,10,"2020-W52"
"Age70_79",27,0,0,2794090,236890,"Lithuania","LT",70,79,10,"2020-W52"
"Age80+",0,0,0,2794090,164546,"Lithuania","LT",80,100,21,"2020-W52"
"Age10_14",0,0,0,626108,33101,"Luxembourg","LU",10,14,5,"2020-W52"
"Age15_17",0,0,0,626108,19462,"Luxembourg","LU",15,17,3,"2020-W52"
"Age18_24",0,0,0,626108,52409,"Luxembourg","LU",18,24,7,"2020-W52"
"Age25_49",0,0,0,626108,239349,"Luxembourg","LU",25,49,25,"2020-W52"
"Age5_9",0,0,0,626108,33994,"Luxembourg","LU",5,9,5,"2020-W52"
"Age50_59",0,0,0,626108,89549,"Luxembourg","LU",50,59,10,"2020-W52"
"Age60_69",0,0,0,626108,61985,"Luxembourg","LU",60,69,10,"2020-W52"
"Age70_79",0,0,0,626108,38352,"Luxembourg","LU",70,79,10,"2020-W52"
"Age80+",0,0,0,626108,24925,"Luxembourg","LU",80,100,21,"2020-W52"
"Age10_14",0,0,0,1907675,102501,"Latvia","LV",10,14,5,"2020-W52"
"Age15_17",0,0,0,1907675,54269,"Latvia","LV",15,17,3,"2020-W52"
